record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_main_agent_action_scaling,wh3_main_skill_agent_action_success_scaling,Agent action success modifer,Hidden skill that scales action success/defence chance,mount_hellsteed.png,0,99,0,0,false,0,49,46,Agent action success modifer,Hidden skill that scales action success/defence chance,,,,,,wh_main_effect_agent_action_success_chance_enemy_skill,[HIDDEN] Enemy Hero action success chance: %+n% (from skill),,character_to_character_own,-46,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_agent_action_success_scaling|wh_main_effect_agent_action_success_chance_enemy_skill|46|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_main_agent_action_scaling,wh3_main_skill_agent_action_success_scaling,Agent action success modifer,Hidden skill that scales action success/defence chance,mount_hellsteed.png,0,99,0,0,false,0,49,46,Agent action success modifer,Hidden skill that scales action success/defence chance,,,,,,wh_main_effect_agent_action_success_chance_skill,[HIDDEN] Hero action success chance: %+n% (from skill),,character_to_character_own,46,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_agent_action_success_scaling|wh_main_effect_agent_action_success_chance_skill|46|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_main_agent_action_scaling,wh3_main_skill_agent_action_success_scaling,Agent action success modifer,Hidden skill that scales action success/defence chance,mount_hellsteed.png,0,99,0,0,false,0,49,47,Agent action success modifer,Hidden skill that scales action success/defence chance,,,,,,wh_main_effect_agent_action_success_chance_enemy_skill,[HIDDEN] Enemy Hero action success chance: %+n% (from skill),,character_to_character_own,-47,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_agent_action_success_scaling|wh_main_effect_agent_action_success_chance_enemy_skill|47|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_main_agent_action_scaling,wh3_main_skill_agent_action_success_scaling,Agent action success modifer,Hidden skill that scales action success/defence chance,mount_hellsteed.png,0,99,0,0,false,0,49,47,Agent action success modifer,Hidden skill that scales action success/defence chance,,,,,,wh_main_effect_agent_action_success_chance_skill,[HIDDEN] Hero action success chance: %+n% (from skill),,character_to_character_own,47,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_agent_action_success_scaling|wh_main_effect_agent_action_success_chance_skill|47|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_main_agent_action_scaling,wh3_main_skill_agent_action_success_scaling,Agent action success modifer,Hidden skill that scales action success/defence chance,mount_hellsteed.png,0,99,0,0,false,0,49,48,Agent action success modifer,Hidden skill that scales action success/defence chance,,,,,,wh_main_effect_agent_action_success_chance_enemy_skill,[HIDDEN] Enemy Hero action success chance: %+n% (from skill),,character_to_character_own,-48,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_agent_action_success_scaling|wh_main_effect_agent_action_success_chance_enemy_skill|48|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_main_agent_action_scaling,wh3_main_skill_agent_action_success_scaling,Agent action success modifer,Hidden skill that scales action success/defence chance,mount_hellsteed.png,0,99,0,0,false,0,49,48,Agent action success modifer,Hidden skill that scales action success/defence chance,,,,,,wh_main_effect_agent_action_success_chance_skill,[HIDDEN] Hero action success chance: %+n% (from skill),,character_to_character_own,48,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_agent_action_success_scaling|wh_main_effect_agent_action_success_chance_skill|48|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_main_agent_action_scaling,wh3_main_skill_agent_action_success_scaling,Agent action success modifer,Hidden skill that scales action success/defence chance,mount_hellsteed.png,0,99,0,0,false,0,49,49,Agent action success modifer,Hidden skill that scales action success/defence chance,,,,,,wh_main_effect_agent_action_success_chance_enemy_skill,[HIDDEN] Enemy Hero action success chance: %+n% (from skill),,character_to_character_own,-49,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_agent_action_success_scaling|wh_main_effect_agent_action_success_chance_enemy_skill|49|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_main_agent_action_scaling,wh3_main_skill_agent_action_success_scaling,Agent action success modifer,Hidden skill that scales action success/defence chance,mount_hellsteed.png,0,99,0,0,false,0,49,49,Agent action success modifer,Hidden skill that scales action success/defence chance,,,,,,wh_main_effect_agent_action_success_chance_skill,[HIDDEN] Hero action success chance: %+n% (from skill),,character_to_character_own,49,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_agent_action_success_scaling|wh_main_effect_agent_action_success_chance_skill|49|character_to_character_own
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_cp1_skill_node_cth_clawspeaker_life_generic_0,wh3_main_skill_cth_all_unique_magic_resist,Wind Harmony,The turbulent Winds of Magic can do little harm to those who have found harmony amidst its raging currents.,character_ward_save.png,1,0,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_cp1_skill_node_cth_clawspeaker_life_generic_0
skill_level,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_cp1_skill_node_cth_clawspeaker_life_generic_0,wh3_main_skill_cth_all_unique_magic_resist,Wind Harmony,The turbulent Winds of Magic can do little harm to those who have found harmony amidst its raging currents.,character_ward_save.png,1,0,0,0,true,0,1,1,Wind Harmony,The turbulent Winds of Magic can do little harm to those who have found harmony amidst its raging currents.,6,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_main_skill_cth_all_unique_magic_resist|1|||
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_cp1_skill_node_cth_clawspeaker_life_generic_0,wh3_main_skill_cth_all_unique_magic_resist,Wind Harmony,The turbulent Winds of Magic can do little harm to those who have found harmony amidst its raging currents.,character_ward_save.png,1,0,0,0,true,0,1,1,Wind Harmony,The turbulent Winds of Magic can do little harm to those who have found harmony amidst its raging currents.,,,,,,wh_main_effect_character_stat_magic_resistance,Spell resistance: %n%,"Spell Resistance. Damage of [[img:ui/skins/default/modifier_icon_magical.png]][[/img]]spells and magical abilities is reduced by this amount, up to a maximum of 90%",character_to_character_own,10,both,280,true,resistance_magic.png,resistance_magic.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_main_skill_cth_all_unique_magic_resist|wh_main_effect_character_stat_magic_resistance|1|character_to_character_own
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_cp1_skill_node_cth_clawspeaker_life_unique_1,wh3_cp1_skill_cth_clawspeaker_life_unique_1,{{tr:character_skills_localised_name_wh3_cp1_skill_cth_clawspeaker_beasts_offense_3}},{{tr:character_skills_localised_description_wh3_cp1_skill_cth_clawspeaker_beasts_offense_3}},character_health.png,1,1,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_cp1_skill_node_cth_clawspeaker_life_unique_1
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_cp1_skill_node_cth_clawspeaker_life_unique_1,wh3_cp1_skill_cth_clawspeaker_life_unique_1,{{tr:character_skills_localised_name_wh3_cp1_skill_cth_clawspeaker_beasts_offense_3}},{{tr:character_skills_localised_description_wh3_cp1_skill_cth_clawspeaker_beasts_offense_3}},character_health.png,1,1,0,0,true,0,1,1,{{tr:character_skills_localised_name_wh3_cp1_skill_cth_clawspeaker_beasts_offense_3}},{{tr:character_skills_localised_description_wh3_cp1_skill_cth_clawspeaker_beasts_offense_3}},,,,,,wh_main_effect_character_stat_unit_health,Hit points: %+n%,,character_to_character_own,10,both,90,true,health_character.png,health_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_cp1_skill_cth_clawspeaker_life_unique_1|wh_main_effect_character_stat_unit_health|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_cp1_skill_node_cth_clawspeaker_life_unique_1,wh3_cp1_skill_cth_clawspeaker_life_unique_1,{{tr:character_skills_localised_name_wh3_cp1_skill_cth_clawspeaker_beasts_offense_3}},{{tr:character_skills_localised_description_wh3_cp1_skill_cth_clawspeaker_beasts_offense_3}},character_health.png,1,1,0,0,true,0,1,1,{{tr:character_skills_localised_name_wh3_cp1_skill_cth_clawspeaker_beasts_offense_3}},{{tr:character_skills_localised_description_wh3_cp1_skill_cth_clawspeaker_beasts_offense_3}},,,,,,wh3_cp1_effect_vigour_loss_reduction_tigers,Vigour loss reduction: %+n% for all Tiger Warrior units,,agent_to_parent_army_own,-15,battle,400,false,vigour.png,vigour.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_cp1_skill_cth_clawspeaker_life_unique_1|wh3_cp1_effect_vigour_loss_reduction_tigers|1|agent_to_parent_army_own
node,warhammer_3,8.1.1,24237342,Grand Cathay,grand_cathay,wh3_main_sc_cth_cathay,Clawspeaker (Life),Clawspeaker_Life,hero,wh3_cp1_cth_clawspeaker_life,spy,spy,wh3_cp1_cth_tiger_warriors|wh3_dlc24_cth_the_celestial_court|wh3_dlc27_cth_cathay_dm|wh3_main_cth_burning_wind_nomads|wh3_main_cth_cathay_qb1|wh3_main_cth_cathay_qb2|wh3_main_cth_cathay_qb3|wh3_main_cth_cathay_rebels|wh3_main_cth_celestial_loyalists|wh3_main_cth_dissenter_lords_of_jinshen|wh3_main_cth_eastern_river_lords|wh3_main_cth_imperial_wardens|wh3_main_cth_rebel_lords_of_nan_yang|wh3_main_cth_the_jade_custodians|wh3_main_cth_the_northern_provinces|wh3_main_cth_the_western_provinces,false,false,true,true,true,true,,,wh3_cp1_skill_node_set_cth_clawspeaker_life,,1,spy,false,false,,,,wh3_cp1_skill_node_cth_clawspeaker_life_magic_1_1,wh_dlc05_skill_magic_life_life_bloom,Life Bloom,"Even the simplest of spells can bring forth the full bloom of renewal, reinvigorating and healing the broken and bleeding.",wh_dlc05_spell_life_life_bloom.png,1,3,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_cp1_skill_node_cth_clawspeaker_life_magic_1_1
